Digitale Kriminalität: Modi Operandi der digitalen Kriminalität und beschuldigte Personen,,,,,,,,,,,,,,,,,,,,,,,,,T 19.02.09.01.02
Schweiz Jahr 2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Altersgruppen,,,,,,,,,,,,,Geschecht,,,,Aufenthaltsstatus,,,
Modi operandi1),Straftaten2),"aufgeklärte
Sraftaten",Aufklärungsrate,Total beschuldigte Personen,<10,10-14,15-17,"18, 19",20-24,25-29,30-34,35-39,40-49,50-59,60-69,70+,s.n.,männlich,weiblich,juristische Personen,o.A.,Total,Ständige Wohnbev.,Asyl-Bevölkerung,Übrige Ausländer
Total digitale Kriminalität, 43 839 , 10 217 ,23.3%, 5 925 ,  11 ,  494 ,  580 ,  339 ,  715 ,  624 ,  598 ,  520 ,  804 ,  632 ,  372 ,  175 ,  7 , 4 318 , 1 552 ,  54 ,  1 , 5 871 , 4 748 ,  137 ,  986 
Cyber Wirtschaftskriminalität, 40 496 , 7 393 ,18.3%, 3 740 ,  3 ,  64 ,  186 ,  228 ,  526 ,  464 ,  438 ,  390 ,  576 ,  448 ,  247 ,  111 ,  6 , 2 444 , 1 242 ,  53 ,  1 , 3 687 , 2 725 ,  83 ,  879 
Phishing, 3 796 ,  132 ,3.5%,  113 ,0 ,  1 ,  5 ,  9 ,  29 ,  12 ,  16 ,  16 ,  13 ,  9 ,0 ,  2 ,  1 ,  82 ,  31 ,0 ,0 ,  113 ,  55 ,  8 ,  50 
Hacking: Gewaltsames Eindringen in ein Datenverarbeitungssystem,  214 ,  15 ,7.0%,  21 ,0 ,0 ,0 ,0 ,  2 ,  3 ,  7 ,  4 ,  2 ,  1 ,  2 ,0 ,0 ,  17 ,  4 ,0 ,0 ,  21 ,  6 ,0 ,  15 
Hacking: Eindringen in ein Datenverarbeitungssystem mit fremden Zugangsdaten,  879 ,  75 ,8.5%,  63 ,0 ,  4 ,  5 ,  1 ,  5 ,  6 ,  6 ,  14 ,  11 ,  9 ,  2 ,0 ,0 ,  45 ,  18 ,0 ,0 ,  63 ,  56 ,  2 ,  5 
Malware – Ransomware,  252 ,  1 ,0.4%,  1 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Malware – E-Banking Trojaner,  38 ,  3 ,7.9%,  3 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Malware – Spyware,  13 ,  6 ,46.2%,  4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,  2 ,  2 ,0 ,0 ,0 ,0 ,  3 ,  1 ,0 ,0 ,  4 ,  3 ,0 ,  1 
Malware – Rogueware/Scareware,  163 ,  6 ,3.7%,  4 ,0 ,0 ,0 ,0 ,  1 ,0 ,  1 ,  1 ,  1 ,0 ,0 ,0 ,0 ,  4 ,0 ,0 ,0 ,  4 ,  3 ,0 ,  1 
Malware – Botnet,  10 ,  1 ,10.0%,  1 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
DDoS,  17 ,  2 ,11.8%,  1 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Cyberbetrug, 30 331 , 5 678 ,18.7%, 2 806 ,  3 ,  49 ,  162 ,  162 ,  406 ,  365 ,  340 ,  304 ,  437 ,  305 ,  152 ,  68 ,  4 , 1 863 ,  893 ,  49 ,  1 , 2 757 , 2 025 ,  74 ,  658 
davon: CEO/BEC Betrug,  412 ,  30 ,7.3%,  31 ,0 ,0 ,0 ,  7 ,  11 ,  3 ,  3 ,  1 ,  3 ,  2 ,  1 ,0 ,0 ,  26 ,  5 ,0 ,0 ,  31 ,  10 ,  1 ,  20 
davon: Betrügerische Internetshops,  678 ,  165 ,24.3%,  164 ,0 ,  3 ,  11 ,  11 ,  30 ,  16 ,  14 ,  18 ,  24 ,  16 ,  7 ,  1 ,0 ,  114 ,  37 ,  13 ,0 ,  151 ,  134 ,  2 ,  15 
davon: Falsche Immobilienanzeigen,  525 ,  34 ,6.5%,  36 ,0 ,0 ,  1 ,0 ,  5 ,  4 ,  9 ,  4 ,  6 ,  4 ,  1 ,  2 ,0 ,  27 ,  9 ,0 ,0 ,  36 ,  21 ,0 ,  15 
davon: Falsche Unterstützungsanfragen,  343 ,  39 ,11.4%,  38 ,0 ,0 ,0 ,  7 ,  16 ,  6 ,  3 ,0 ,  3 ,0 ,  2 ,  1 ,0 ,  28 ,  10 ,0 ,0 ,  38 ,  26 ,  1 ,  11 
davon: Vorschussbetrug,  536 ,  63 ,11.8%,  57 ,0 ,0 ,0 ,  1 ,  3 ,  7 ,  3 ,  5 ,  8 ,  12 ,  9 ,  4 ,  1 ,  36 ,  17 ,  4 ,0 ,  53 ,  37 ,  1 ,  15 
davon: Betrügerischer technischer Support, 1 912 ,  55 ,2.9%,  44 ,0 ,0 ,  1 ,  6 ,  11 ,  5 ,  6 ,  6 ,  3 ,  2 ,  3 ,  1 ,0 ,  32 ,  12 ,0 ,0 ,  44 ,  35 ,  1 ,  8 
davon: Romance Scam,  661 ,  118 ,17.9%,  93 ,0 ,0 ,0 ,  1 ,  9 ,  16 ,  17 ,  8 ,  16 ,  12 ,  10 ,  2 ,  2 ,  59 ,  34 ,0 ,0 ,  93 ,  49 ,0 ,  44 
davon: Kleinanzeigeplattformen – Ware nicht bezahlt,  570 ,  96 ,16.8%,  97 ,0 ,  1 ,  4 ,  9 ,  11 ,  14 ,  21 ,  12 ,  18 ,  3 ,  2 ,  1 ,0 ,  63 ,  33 ,  1 ,0 ,  96 ,  72 ,  5 ,  19 
davon: Kleinanzeigeplattformen – Ware nicht geliefert, 10 443 , 3 119 ,29.9%, 1 385 ,  1 ,  11 ,  61 ,  77 ,  188 ,  176 ,  150 ,  155 ,  247 ,  178 ,  89 ,  45 ,0 ,  916 ,  462 ,  7 ,0 , 1 378 , 1 054 ,  24 ,  300 
"davon: Missbrauch von Online-Zahlungssyst./Wertkarten oder einer fremden Identität, um einen Betrug zu begehen", 10 883 , 1 647 ,15.1%,  738 ,  2 ,  29 ,  83 ,  54 ,  119 ,  109 ,  96 ,  89 ,  87 ,  53 ,  14 ,  3 ,0 ,  487 ,  250 ,0 ,  1 ,  738 ,  554 ,  42 ,  142 
davon: Online Anlagebetrug, 2 356 ,  131 ,5.6%,  142 ,0 ,  1 ,0 ,  1 ,  17 ,  22 ,  18 ,  7 ,  27 ,  13 ,  12 ,  5 ,  1 ,  96 ,  28 ,  18 ,0 ,  124 ,  68 ,0 ,  56 
davon: Anderer Internetbetrug, 1 012 ,  181 ,17.9%,  177 ,0 ,  4 ,  13 ,  10 ,  25 ,  25 ,  28 ,  16 ,  20 ,  16 ,  10 ,  4 ,0 ,  125 ,  46 ,  6 ,0 ,  171 ,  129 ,  5 ,  37 
Money/Package Mules, 3 002 , 1 395 ,46.5%, 1 026 ,0 ,  5 ,  13 ,  64 ,  124 ,  107 ,  105 ,  85 ,  164 ,  174 ,  120 ,  57 ,  1 ,  615 ,  404 ,  7 ,0 , 1 019 ,  794 ,  14 ,  211 
Sextortion (money), 1 696 ,  71 ,4.2%,  60 ,0 ,  6 ,  7 ,  14 ,  9 ,  7 ,  5 ,  1 ,  6 ,  4 ,  1 ,0 ,0 ,  54 ,  6 ,0 ,0 ,  60 ,  43 ,  1 ,  16 
Diebstahl von Kryptowährungen,  85 ,  8 ,9.4%,  12 ,0 ,0 ,0 ,  1 ,  3 ,  2 ,  1 ,  2 ,  2 ,  1 ,0 ,0 ,0 ,  8 ,  4 ,0 ,0 ,  12 ,  1 ,0 ,  11 
Cyber Sexualdelikte, 2 611 , 2 390 ,91.5%, 1 843 ,  7 ,  396 ,  380 ,  106 ,  172 ,  123 ,  113 ,  90 ,  165 ,  137 ,  99 ,  53 ,  1 , 1 661 ,  181 ,  1 ,0 , 1 842 , 1 726 ,  46 ,  70 
Verbotene Pornografie, 2 350 , 2 207 ,93.9%, 1 744 ,  7 ,  380 ,  363 ,  98 ,  162 ,  114 ,  104 ,  82 ,  158 ,  131 ,  95 ,  49 ,0 , 1 565 ,  178 ,  1 ,0 , 1 743 , 1 639 ,  46 ,  58 
Grooming,  127 ,  107 ,84.3%,  65 ,0 ,  12 ,  4 ,  5 ,  4 ,  8 ,  5 ,  8 ,  6 ,  6 ,  4 ,  3 ,0 ,  63 ,  2 ,0 ,0 ,  65 ,  60 ,0 ,  5 
Sextortion (sex),  108 ,  50 ,46.3%,  32 ,0 ,  4 ,  12 ,  3 ,  5 ,  1 ,  3 ,  1 ,  1 ,  1 ,0 ,0 ,  1 ,  31 ,  1 ,0 ,0 ,  32 ,  27 ,0 ,  5 
Live Streaming,  26 ,  26 ,100.0%,  10 ,0 ,0 ,  3 ,  1 ,  2 ,0 ,  2 ,  1 ,0 ,0 ,0 ,  1 ,0 ,  10 ,0 ,0 ,0 ,  10 ,  8 ,0 ,  2 
Cyber Rufschädigung und unlauteres Verhalten,  725 ,  430 ,59.3%,  357 ,  1 ,  39 ,  20 ,  6 ,  19 ,  36 ,  48 ,  41 ,  62 ,  47 ,  27 ,  11 ,0 ,  228 ,  129 ,0 ,0 ,  357 ,  312 ,  8 ,  37 
Cybersquatting,  53 ,  1 ,1.9%,  2 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Cyber-Rufschädigung (Geschäftlich),  58 ,  36 ,62.1%,  37 ,0 ,0 ,0 ,0 ,  3 ,  4 ,  12 ,  4 ,  4 ,  5 ,  4 ,  1 ,0 ,  23 ,  14 ,0 ,0 ,  37 ,  33 ,0 ,  4 
Cyberbullying/Cybermobbing,  614 ,  393 ,64.0%,  318 ,  1 ,  39 ,  20 ,  6 ,  16 ,  32 ,  35 ,  37 ,  58 ,  42 ,  23 ,  9 ,0 ,  204 ,  114 ,0 ,0 ,  318 ,  278 ,  7 ,  33 
Darknet,  4 ,  2 ,50.0%,  2 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
