Digitale Kriminalität: Modi Operandi der digitalen Kriminalität und beschuldigte Personen,,,,,,,,,,,,,,,,,,,,,,,,,T 19.02.09.01.02
Schweiz Jahr 2021,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Altersgruppen,,,,,,,,,,,,,Geschecht,,,,Aufenthaltsstatus,,,
Modi operandi1),Straftaten2),"aufgeklärte
Sraftaten",Aufklärungsrate,Total beschuldigte Personen,<10,10-14,15-17,"18, 19",20-24,25-29,30-34,35-39,40-49,50-59,60-69,70+,s.n.,männlich,weiblich,juristische Personen,o.A.,Total,Ständige Wohnbev.,Asyl-Bevölkerung,Übrige Ausländer
Total digitale Kriminalität, 30 351 , 11 051 ,36.4%, 5 700 ,  14 ,  470 ,  505 ,  267 ,  654 ,  594 ,  594 ,  486 ,  757 ,  611 ,  280 ,  131 ,  30 , 4 002 , 1 390 ,  307 ,  1 , 5 393 , 4 715 ,  88 ,  590 
Cyber Wirtschaftskriminalität, 26 671 , 7 940 ,29.8%, 3 341 ,0 ,  53 ,  159 ,  128 ,  419 ,  388 ,  406 ,  317 ,  481 ,  381 ,  176 ,  98 ,  29 , 2 032 , 1 002 ,  306 ,  1 , 3 035 , 2 505 ,  39 ,  491 
Phishing, 1 210 ,  90 ,7.4%,  61 ,0 ,0 ,  3 ,  1 ,  6 ,  6 ,  7 ,  2 ,  19 ,  6 ,  3 ,0 ,0 ,  44 ,  9 ,  8 ,0 ,  53 ,  40 ,0 ,  13 
Hacking: Gewaltsames Eindringen in ein Datenverarbeitungssystem,  324 ,  16 ,4.9%,  12 ,0 ,0 ,0 ,0 ,  1 ,  1 ,  1 ,  1 ,  2 ,  4 ,  1 ,0 ,0 ,  8 ,  3 ,  1 ,0 ,  11 ,  11 ,0 ,0 
Hacking: Eindringen in ein Datenverarbeitungssystem mit fremden Zugangsdaten,  653 ,  93 ,14.2%,  68 ,0 ,  3 ,  2 ,  2 ,  4 ,  8 ,  11 ,  11 ,  13 ,  9 ,  3 ,  1 ,0 ,  47 ,  20 ,  1 ,0 ,  67 ,  61 ,  2 ,  4 
Malware – Ransomware,  340 ,  3 ,0.9%,  3 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Malware – E-Banking Trojaner,  82 ,  10 ,12.2%,  10 ,0 ,0 ,0 ,0 ,0 ,  3 ,0 ,  1 ,  1 ,  2 ,0 ,0 ,  3 ,  5 ,  5 ,0 ,0 ,  10 ,  7 ,0 ,  3 
Malware – Spyware,  25 ,  2 ,8.0%,  2 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Malware – Rogueware/Scareware,  61 ,  2 ,3.3%,  1 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Malware – Botnet,  13 ,0 ,0.0%,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
DDoS,  32 ,0 ,0.0%,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Cyberbetrug, 20 691 , 6 468 ,31.3%, 2 648 ,0 ,  46 ,  143 ,  108 ,  358 ,  311 ,  329 ,  256 ,  346 ,  263 ,  114 ,  58 ,  24 , 1 601 ,  754 ,  292 ,  1 , 2 356 , 1 934 ,  31 ,  391 
davon: CEO/BEC Betrug,  412 ,  26 ,6.3%,  23 ,0 ,0 ,0 ,  1 ,  1 ,  2 ,  4 ,  1 ,  2 ,  7 ,  2 ,  3 ,0 ,  12 ,  11 ,0 ,0 ,  23 ,  13 ,0 ,  10 
davon: Betrügerische Internetshops,  632 ,  329 ,52.1%,  259 ,0 ,  1 ,  8 ,  11 ,  34 ,  37 ,  40 ,  23 ,  41 ,  33 ,  10 ,  3 ,  3 ,  166 ,  78 ,  15 ,0 ,  244 ,  198 ,  2 ,  44 
davon: Falsche Immobilienanzeigen,  518 ,  28 ,5.4%,  20 ,0 ,0 ,0 ,  1 ,  3 ,  3 ,  3 ,  2 ,  5 ,0 ,0 ,  2 ,  1 ,  16 ,  4 ,0 ,0 ,  20 ,  12 ,0 ,  8 
davon: Falsche Unterstützungsanfragen,  127 ,  3 ,2.4%,  3 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
davon: Vorschussbetrug,  674 ,  136 ,20.2%,  128 ,0 ,0 ,  1 ,0 ,  4 ,  2 ,  6 ,  10 ,  19 ,  20 ,  24 ,  8 ,0 ,  63 ,  31 ,  34 ,0 ,  94 ,  73 ,  3 ,  18 
davon: Betrügerischer technischer Support, 1 366 ,  38 ,2.8%,  19 ,0 ,0 ,0 ,0 ,  3 ,  3 ,  4 ,  4 ,  1 ,0 ,  1 ,  1 ,0 ,  15 ,  2 ,  2 ,0 ,  17 ,  10 ,0 ,  7 
davon: Romance Scam,  776 ,  94 ,12.1%,  94 ,0 ,0 ,  3 ,  3 ,  19 ,  12 ,  17 ,  11 ,  10 ,  10 ,  4 ,  3 ,  1 ,  64 ,  29 ,  1 ,0 ,  93 ,  46 ,0 ,  47 
davon: Kleinanzeigeplattformen – Ware nicht bezahlt,  646 ,  164 ,25.4%,  121 ,0 ,  2 ,  12 ,  5 ,  13 ,  22 ,  18 ,  12 ,  22 ,  8 ,  4 ,  2 ,  1 ,  72 ,  49 ,0 ,0 ,  121 ,  98 ,  1 ,  22 
davon: Kleinanzeigeplattformen – Ware nicht geliefert, 6 884 , 3 331 ,48.4%, 1 179 ,0 ,  11 ,  52 ,  57 ,  194 ,  146 ,  150 ,  122 ,  173 ,  160 ,  56 ,  41 ,  6 ,  806 ,  361 ,  11 ,  1 , 1 168 , 1 025 ,  10 ,  133 
"davon: Missbrauch von Online-Zahlungssyst./Wertkarten oder einer fremden Identität, um einen Betrug zu begehen", 6 670 , 1 817 ,27.2%,  626 ,0 ,  26 ,  66 ,  39 ,  101 ,  100 ,  96 ,  71 ,  67 ,  31 ,  16 ,  1 ,  4 ,  402 ,  216 ,  8 ,0 ,  618 ,  523 ,  15 ,  80 
davon: Online Anlagebetrug, 1 231 ,  278 ,22.6%,  277 ,0 ,0 ,  2 ,0 ,  9 ,  7 ,  8 ,  7 ,  21 ,  16 ,  7 ,  2 ,0 ,  67 ,  12 ,  198 ,0 ,  79 ,  48 ,  1 ,  30 
davon: Anderer Internetbetrug,  755 ,  224 ,29.7%,  162 ,0 ,  12 ,  11 ,  3 ,  21 ,  19 ,  16 ,  15 ,  16 ,  9 ,  4 ,0 ,  8 ,  95 ,  39 ,  28 ,0 ,  134 ,  109 ,  2 ,  23 
Money/Package Mules, 2 113 , 1 217 ,57.6%,  882 ,0 ,  1 ,  14 ,  27 ,  93 ,  93 ,  88 ,  73 ,  150 ,  154 ,  91 ,  52 ,  2 ,  536 ,  302 ,  44 ,0 ,  838 ,  735 ,  9 ,  94 
Sextortion (money), 1 031 ,  38 ,3.7%,  41 ,0 ,  3 ,  1 ,  3 ,  5 ,  7 ,  6 ,  4 ,  5 ,  6 ,  1 ,0 ,0 ,  28 ,  13 ,0 ,0 ,  41 ,  30 ,  1 ,  10 
Diebstahl von Kryptowährungen,  96 ,  1 ,1.0%,  1 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Cyber Sexualdelikte, 2 572 , 2 390 ,92.9%, 1 816 ,  14 ,  384 ,  323 ,  118 ,  198 ,  143 ,  128 ,  114 ,  165 ,  147 ,  62 ,  20 ,0 , 1 628 ,  188 ,0 ,0 , 1 816 , 1 716 ,  39 ,  61 
Verbotene Pornografie, 2 243 , 2 150 ,95.9%, 1 690 ,  14 ,  353 ,  300 ,  108 ,  180 ,  135 ,  125 ,  106 ,  154 ,  135 ,  60 ,  20 ,0 , 1 516 ,  174 ,0 ,0 , 1 690 , 1 598 ,  37 ,  55 
Grooming,  141 ,  120 ,85.1%,  83 ,0 ,  19 ,  9 ,  5 ,  10 ,  10 ,  3 ,  5 ,  11 ,  8 ,  3 ,0 ,0 ,  75 ,  8 ,0 ,0 ,  83 ,  79 ,  1 ,  3 
Sextortion (sex),  153 ,  86 ,56.2%,  43 ,0 ,  11 ,  12 ,  7 ,  7 ,  1 ,0 ,0 ,0 ,  4 ,0 ,  1 ,0 ,  38 ,  5 ,0 ,0 ,  43 ,  40 ,0 ,  3 
Live Streaming,  35 ,  34 ,97.1%,  19 ,0 ,  3 ,  3 ,0 ,  3 ,  1 ,  1 ,  3 ,  1 ,  4 ,0 ,0 ,0 ,  18 ,  1 ,0 ,0 ,  19 ,  18 ,  1 ,0 
Cyber Rufschädigung und unlauteres Verhalten, 1 103 ,  719 ,65.2%,  570 ,0 ,  38 ,  28 ,  22 ,  41 ,  65 ,  62 ,  57 ,  112 ,  87 ,  43 ,  13 ,  1 ,  369 ,  200 ,  1 ,0 ,  569 ,  516 ,  12 ,  41 
Cybersquatting,  37 ,  1 ,2.7%,  1 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Cyber-Rufschädigung (Geschäftlich),  107 ,  76 ,71.0%,  79 ,0 ,  1 ,0 ,  2 ,  6 ,  13 ,  7 ,  6 ,  15 ,  20 ,  5 ,  3 ,0 ,  46 ,  32 ,  1 ,0 ,  78 ,  73 ,0 ,  5 
Cyberbullying/Cybermobbing,  959 ,  642 ,66.9%,  492 ,0 ,  37 ,  28 ,  20 ,  35 ,  52 ,  54 ,  51 ,  98 ,  67 ,  39 ,  10 ,  1 ,  324 ,  168 ,0 ,0 ,  492 ,  445 ,  12 ,  35 
Darknet,  1 ,  1 ,100.0%,  1 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
