Digitale Kriminalität: Modi Operandi der digitalen Kriminalität und beschuldigte Personen,,,,,,,,,,,,,,,,,,,,,,,,,T 19.02.09.01.02
Schweiz Jahr 2022,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Altersgruppen,,,,,,,,,,,,,Geschecht,,,,Aufenthaltsstatus,,,
Modi operandi1),Straftaten2),"aufgeklärte
Sraftaten",Aufklärungsrate,Total beschuldigte Personen,<10,10-14,15-17,"18, 19",20-24,25-29,30-34,35-39,40-49,50-59,60-69,70+,s.n.,männlich,weiblich,juristische Personen,o.A.,Total,Ständige Wohnbev.,Asyl-Bevölkerung,Übrige Ausländer
Total digitale Kriminalität, 33 345 , 11 448 ,34.3%, 5 952 ,  17 ,  525 ,  606 ,  334 ,  705 ,  571 ,  603 ,  462 ,  792 ,  627 ,  311 ,  149 ,  35 , 4 280 , 1 448 ,  215 ,  9 , 5 737 , 4 921 ,  104 ,  712 
Cyber Wirtschaftskriminalität, 29 677 , 8 294 ,27.9%, 3 522 ,0 ,  65 ,  180 ,  188 ,  465 ,  424 ,  413 ,  306 ,  511 ,  410 ,  212 ,  99 ,  35 , 2 211 , 1 088 ,  214 ,  9 , 3 308 , 2 633 ,  59 ,  616 
Phishing, 2 236 ,  141 ,6.3%,  82 ,0 ,0 ,  2 ,  4 ,  7 ,  13 ,  16 ,  12 ,  10 ,  13 ,  2 ,  2 ,0 ,  60 ,  21 ,  1 ,0 ,  81 ,  52 ,  3 ,  26 
Hacking: Gewaltsames Eindringen in ein Datenverarbeitungssystem,  246 ,  27 ,11.0%,  18 ,0 ,  2 ,0 ,  1 ,  2 ,  3 ,  1 ,  1 ,  1 ,  6 ,  1 ,0 ,0 ,  13 ,  5 ,0 ,0 ,  18 ,  17 ,0 ,  1 
Hacking: Eindringen in ein Datenverarbeitungssystem mit fremden Zugangsdaten,  796 ,  108 ,13.6%,  78 ,0 ,  2 ,  7 ,  3 ,  14 ,  16 ,  8 ,  3 ,  14 ,  8 ,  3 ,0 ,0 ,  66 ,  12 ,0 ,0 ,  78 ,  65 ,  2 ,  11 
Malware – Ransomware,  307 ,  4 ,1.3%,  2 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Malware – E-Banking Trojaner,  49 ,  3 ,6.1%,  2 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Malware – Spyware,  15 ,  3 ,20.0%,  2 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Malware – Rogueware/Scareware,  45 ,0 ,0.0%,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Malware – Botnet,  17 ,0 ,0.0%,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
DDoS,  16 ,  2 ,12.5%,  2 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Cyberbetrug, 22 207 , 6 686 ,30.1%, 2 823 ,0 ,  49 ,  162 ,  155 ,  376 ,  346 ,  334 ,  256 ,  418 ,  292 ,  148 ,  50 ,  26 , 1 784 ,  823 ,  211 ,  5 , 2 612 , 2 075 ,  47 ,  490 
davon: CEO/BEC Betrug,  401 ,  25 ,6.2%,  21 ,0 ,0 ,0 ,0 ,  1 ,  1 ,  4 ,  4 ,  5 ,  2 ,  3 ,0 ,0 ,  12 ,  8 ,  1 ,0 ,  20 ,  11 ,0 ,  9 
davon: Betrügerische Internetshops,  543 ,  252 ,46.4%,  167 ,0 ,  1 ,  7 ,  9 ,  24 ,  34 ,  18 ,  13 ,  21 ,  18 ,  12 ,  3 ,  1 ,  120 ,  41 ,  6 ,0 ,  161 ,  140 ,  3 ,  18 
davon: Falsche Immobilienanzeigen,  433 ,  22 ,5.1%,  17 ,0 ,0 ,0 ,0 ,  1 ,0 ,  4 ,  2 ,  3 ,  7 ,0 ,0 ,0 ,  11 ,  6 ,0 ,0 ,  17 ,  13 ,0 ,  4 
davon: Falsche Unterstützungsanfragen,  94 ,  6 ,6.4%,  5 ,0 ,0 ,0 ,0 ,0 ,  1 ,  1 ,  1 ,0 ,  1 ,0 ,0 ,0 ,  2 ,  2 ,  1 ,0 ,  4 ,  1 ,0 ,  3 
davon: Vorschussbetrug,  513 ,  67 ,13.1%,  60 ,0 ,0 ,0 ,  2 ,  3 ,  3 ,  8 ,  3 ,  9 ,  9 ,  12 ,  5 ,0 ,  41 ,  13 ,  6 ,0 ,  54 ,  45 ,  1 ,  8 
davon: Betrügerischer technischer Support, 1 534 ,  31 ,2.0%,  12 ,0 ,0 ,0 ,0 ,  1 ,  1 ,  1 ,  1 ,  4 ,0 ,  1 ,0 ,  1 ,  9 ,  1 ,  2 ,0 ,  10 ,  6 ,0 ,  4 
davon: Romance Scam,  698 ,  125 ,17.9%,  114 ,0 ,0 ,  4 ,  2 ,  10 ,  11 ,  21 ,  6 ,  19 ,  17 ,  13 ,  1 ,  8 ,  67 ,  45 ,  2 ,0 ,  112 ,  48 ,  1 ,  63 
davon: Kleinanzeigeplattformen – Ware nicht bezahlt,  527 ,  129 ,24.5%,  110 ,0 ,  3 ,  11 ,  5 ,  15 ,  11 ,  20 ,  8 ,  18 ,  12 ,  3 ,  2 ,0 ,  62 ,  46 ,  2 ,0 ,  108 ,  95 ,  3 ,  10 
davon: Kleinanzeigeplattformen – Ware nicht geliefert, 8 483 , 3 921 ,46.2%, 1 406 ,0 ,  6 ,  69 ,  90 ,  205 ,  182 ,  157 ,  139 ,  239 ,  176 ,  90 ,  37 ,  5 ,  944 ,  448 ,  11 ,  3 , 1 395 , 1 182 ,  13 ,  200 
"davon: Missbrauch von Online-Zahlungssyst./Wertkarten oder einer fremden Identität, um einen Betrug zu begehen", 6 551 , 1 579 ,24.1%,  690 ,0 ,  39 ,  74 ,  45 ,  122 ,  105 ,  87 ,  62 ,  95 ,  40 ,  11 ,  2 ,  4 ,  478 ,  207 ,  4 ,  1 ,  686 ,  555 ,  30 ,  101 
davon: Online Anlagebetrug, 1 590 ,  318 ,20.0%,  272 ,0 ,0 ,0 ,  4 ,  5 ,  12 ,  22 ,  15 ,  15 ,  15 ,  5 ,  2 ,  7 ,  79 ,  22 ,  170 ,  1 ,  102 ,  31 ,0 ,  71 
davon: Anderer Internetbetrug,  840 ,  211 ,25.1%,  155 ,0 ,  1 ,  6 ,  9 ,  23 ,  24 ,  20 ,  22 ,  17 ,  14 ,  6 ,  2 ,0 ,  100 ,  44 ,  11 ,0 ,  144 ,  123 ,0 ,  21 
Money/Package Mules, 2 045 , 1 260 ,61.6%,  817 ,0 ,  2 ,  19 ,  41 ,  100 ,  83 ,  84 ,  58 ,  117 ,  149 ,  89 ,  62 ,  8 ,  469 ,  341 ,  5 ,  2 ,  812 ,  696 ,  11 ,  105 
Sextortion (money), 1 588 ,  54 ,3.4%,  53 ,0 ,  10 ,  2 ,  7 ,  13 ,  8 ,  4 ,  3 ,  2 ,  2 ,0 ,  1 ,  1 ,  39 ,  12 ,0 ,  2 ,  53 ,  29 ,  2 ,  22 
Diebstahl von Kryptowährungen,  110 ,  6 ,5.5%,  5 ,0 ,  1 ,0 ,0 ,0 ,0 ,  1 ,  2 ,0 ,0 ,0 ,  1 ,0 ,  4 ,  1 ,0 ,0 ,  5 ,  1 ,0 ,  4 
Cyber Sexualdelikte, 2 820 , 2 621 ,92.9%, 2 054 ,  17 ,  420 ,  407 ,  137 ,  214 ,  118 ,  151 ,  102 ,  206 ,  164 ,  75 ,  43 ,0 , 1 835 ,  219 ,0 ,0 , 2 054 , 1 945 ,  40 ,  69 
Verbotene Pornografie, 2 594 , 2 462 ,94.9%, 1 968 ,  17 ,  405 ,  398 ,  132 ,  201 ,  112 ,  141 ,  101 ,  196 ,  152 ,  71 ,  42 ,0 , 1 753 ,  215 ,0 ,0 , 1 968 , 1 869 ,  37 ,  62 
Grooming,  141 ,  115 ,81.6%,  80 ,0 ,  14 ,  4 ,  5 ,  12 ,  5 ,  8 ,  2 ,  14 ,  13 ,  2 ,  1 ,0 ,  74 ,  6 ,0 ,0 ,  80 ,  74 ,  1 ,  5 
Sextortion (sex),  65 ,  26 ,40.0%,  13 ,0 ,0 ,  3 ,  2 ,  2 ,  2 ,  1 ,0 ,  2 ,0 ,  1 ,0 ,0 ,  13 ,0 ,0 ,0 ,  13 ,  9 ,  2 ,  2 
Live Streaming,  20 ,  18 ,90.0%,  12 ,0 ,  3 ,  3 ,0 ,  3 ,0 ,  1 ,0 ,0 ,  1 ,  1 ,0 ,0 ,  12 ,0 ,0 ,0 ,  12 ,  12 ,0 ,0 
Cyber Rufschädigung und unlauteres Verhalten,  847 ,  533 ,62.9%,  400 ,0 ,  43 ,  24 ,  13 ,  30 ,  32 ,  39 ,  54 ,  76 ,  56 ,  25 ,  7 ,0 ,  256 ,  143 ,  1 ,0 ,  399 ,  366 ,  5 ,  28 
Cybersquatting,  71 ,  2 ,2.8%,  2 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Cyber-Rufschädigung (Geschäftlich),  69 ,  45 ,65.2%,  40 ,0 ,  1 ,  2 ,  1 ,0 ,  2 ,  3 ,  5 ,  11 ,  9 ,  4 ,  1 ,0 ,  28 ,  11 ,  1 ,0 ,  39 ,  36 ,  2 ,  1 
Cyberbullying/Cybermobbing,  707 ,  486 ,68.7%,  360 ,0 ,  42 ,  22 ,  12 ,  30 ,  30 ,  37 ,  49 ,  65 ,  47 ,  20 ,  6 ,0 ,  228 ,  132 ,0 ,0 ,  360 ,  330 ,  3 ,  27 
Darknet,0 ,0 ,-,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
